Folder,Intersection,Union,IoU-score
t9+_02,2069,6230,0.33210272873194224
t2_16,2941,10157,0.2895540021659939
tM_10,0,4070,0.0
t3_21,4052,8711,0.46515899437492825
tM_14,2,5168,0.0003869969040247678
tM_19,217,5335,0.04067478912839738
t5_23,1114,7279,0.15304300041214453
t5_27,3140,6226,0.5043366527465467
tM_12,0,4333,0.0
t4_16,2111,7663,0.27547957718909044
tM_22,216,7291,0.02962556576601289
tB_23,1612,6057,0.2661383523196302
t2_14,2278,3980,0.5723618090452262
t3_00,2159,6362,0.3393586922351462
t9+_28,2488,8385,0.29672033392963626
tM_13,134,3400,0.039411764705882354
t8_23,1547,12050,0.1283817427385892
t3_20,3043,6070,0.501317957166392
t4_22,1783,6255,0.28505195843325337
t5_12,0,5531,0.0
t8_08,2723,6308,0.4316740646797717
t4_23,770,5513,0.13966987121349536
t2_24,3088,5055,0.6108803165182987
t8_25,1275,10299,0.12379842703175066
t4_28,2991,5575,0.5365022421524663
t2_00,704,6921,0.10171940471030198
t5_17,2585,6360,0.40644654088050314
t4_27,3359,7285,0.4610844200411805
tM_04,1801,4271,0.42168110512760476
t4_08,2142,5836,0.3670322138450994
t8_18,1088,5222,0.20834929145921102
t5_04,2007,5675,0.35365638766519825
tM_00,1378,4818,0.28601079286010794
t2_02,756,6889,0.10974016548120191
t3_28,3439,7967,0.4316555792644659
t9+_08,1352,6060,0.22310231023102312
t5_25,2245,6230,0.36035313001605135
t8_19,1927,4229,0.45566327737053675
tM_26,0,3813,0.0
t9+_21,2638,6112,0.43160994764397903
tB_00,158,7704,0.02050882658359294
t5_02,1043,6873,0.15175323730539794
t3_02,709,4621,0.1534299935078987
t3_24,3060,6069,0.5042016806722689
t9+_09,2180,6137,0.3552224213785237
tB_04,1056,7848,0.1345565749235474
t3_06,0,4994,0.0
tB_06,1551,7656,0.2025862068965517
tM_11,232,3889,0.05965543841604526
t4_02,921,5323,0.17302273154236333
tB_26,2067,13757,0.15025078142036782
tM_15,0,4955,0.0
t3_09,3523,9476,0.3717813423385395
t8_09,1616,6585,0.24540622627182992
t2_01,0,5883,0.0
t8_30,1423,5651,0.2518138382587153
tB_20,503,6594,0.07628146800121323
t9+_24,940,5650,0.1663716814159292
t4_17,3829,6071,0.6307033437654422
t3_23,2152,5261,0.40904770956091996
tM_17,1438,5576,0.2578909612625538
t3_22,2518,5840,0.4311643835616438
t2_20,1415,7284,0.1942613948380011
tB_16,916,6327,0.1447763553026711
t9+_13,2048,6325,0.32379446640316206
t8_27,2367,6541,0.3618712735055802
t5_08,2081,9327,0.22311568564382975
t3_07,3326,8698,0.3823867555759945
t5_26,2907,5879,0.4944718489539037
t4_19,282,4030,0.06997518610421836
t8_14,63,4191,0.015032211882605583
t2_21,323,7543,0.042821158690176324
t3_25,3268,5669,0.5764685129652496
tM_05,0,2096,0.0
t8_02,1237,5122,0.24150722374072628
t5_03,2480,5985,0.4143692564745196
t4_14,985,5781,0.1703857464106556
t3_13,34,4244,0.008011310084825637
tB_19,273,4285,0.06371061843640607
t3_10,3201,6895,0.4642494561276287
t8_00,973,6936,0.14028258362168397
tM_29,5,6630,0.0007541478129713424
tB_02,1248,7283,0.17135795688589867
t8_22,2745,9221,0.2976900553085349
tM_27,1394,4325,0.3223121387283237
t3_29,3249,5764,0.5636710617626648
t4_29,2073,7983,0.25967681322810976
t8_26,616,7254,0.08491866556382685
t4_01,736,6066,0.12133201450708869
t2_09,3588,8760,0.4095890410958904
tM_25,0,4678,0.0
t5_07,263,9850,0.0267005076142132
t8_21,1914,4364,0.4385884509624198
t2_15,2067,6822,0.30299032541776605
t8_11,427,6677,0.06395087614197993
t9+_23,1405,4466,0.3145991939095387
t9+_17,200,6555,0.03051106025934401
t3_15,1784,4955,0.36004036326942485
t8_16,1007,5617,0.17927719423179633
t2_04,534,6012,0.08882235528942116
t3_12,1219,8303,0.14681440443213298
tM_03,697,3913,0.17812420138001533
t9+_06,1447,4319,0.33503125723547117
t8_07,1491,4687,0.31811393215276296
tB_14,1475,8298,0.1777536755844782
t2_22,2818,8711,0.32349902422224774
tM_16,0,4919,0.0
t4_06,2552,6209,0.41101626670961505
t4_25,2811,6529,0.4305406647266044
tM_06,3,4604,0.0006516072980017377
t3_04,1,8204,0.00012189176011701609
t3_18,0,6619,0.0
t2_29,1261,5679,0.22204613488290192
t4_12,2932,11640,0.25189003436426116
tB_09,1310,6237,0.21003687670354337
t2_26,2632,5341,0.4927916120576671
t4_09,3507,9482,0.3698586796034592
t8_15,1782,5756,0.30958999305072965
t5_22,217,5484,0.03956965718453683
t8_20,2593,7523,0.344676325933803
t9+_22,1482,4768,0.3108221476510067
t3_30,1710,6829,0.2504026943915654
t4_03,987,4498,0.21943085815918187
t8_24,1979,3983,0.496861662063771
t9+_11,1476,5100,0.28941176470588237
t9+_29,1986,5472,0.36293859649122806
tB_28,549,11052,0.0496742671009772
t4_04,0,6759,0.0
t9+_15,1351,4840,0.2791322314049587
t8_13,1297,4352,0.29802389705882354
t8_04,2082,5625,0.3701333333333333
t5_13,1085,5664,0.19156073446327684
t9+_27,0,5432,0.0
t5_11,2353,5344,0.44030688622754494
t9+_16,1625,5478,0.29664110989412196
t9+_26,0,5553,0.0
t9+_18,1522,6888,0.22096399535423925
t9+_03,2306,4826,0.4778284293410692
tB_07,2235,8468,0.2639348134152102
t9+_25,1769,6141,0.28806383325191337
t3_16,3461,6599,0.524473405061373
t5_29,1109,4325,0.25641618497109825
t4_15,1,5565,0.00017969451931716083
t2_23,72,4816,0.014950166112956811
tM_20,119,3324,0.03580024067388688
t2_05,29,6138,0.004724666014988596
t8_12,2139,4824,0.44340796019900497
t5_09,1759,4619,0.38081835895215416
t2_30,0,6298,0.0
t8_03,2583,5934,0.4352881698685541
t2_11,2794,5143,0.5432626871475792
t5_10,1729,5066,0.34129490722463485
t2_07,2718,5326,0.5103266992114157
t8_29,1885,8393,0.22459192183962826
tB_15,1930,9748,0.19798933114485023
t5_18,1670,4914,0.3398453398453398
t3_19,856,4842,0.17678645187938868
t5_00,1962,4504,0.43561278863232683
t2_28,3125,4891,0.6389286444489879
t3_11,0,3298,0.0
t9+_12,563,4074,0.13819342169857635
tB_01,2192,10824,0.2025129342202513
t2_03,0,7590,0.0
t4_21,0,5276,0.0
t9+_20,1293,4852,0.26648804616652927
tB_18,1116,8307,0.13434452871072589
t5_28,2274,5307,0.42849067269643865
t3_01,2041,6872,0.2970023282887078
t5_19,988,4208,0.23479087452471484
tM_21,0,4058,0.0
t5_16,2002,5832,0.343278463648834
t9+_10,1647,4556,0.36150131694468834
t2_10,2565,7961,0.3221957040572792
tB_17,3153,9783,0.32229377491567
t4_13,2097,9562,0.21930558460573102
tB_29,1940,7904,0.24544534412955465
t9+_14,2397,5595,0.42841823056300266
t4_10,2097,4910,0.4270875763747454
tM_02,108,5347,0.02019824200486254
t4_26,465,5669,0.08202504850943729
t4_05,0,6847,0.0
t3_08,2393,5429,0.44078099097439677
t3_03,2579,6774,0.38072040153528197
t2_08,3917,6564,0.5967397928092626
t2_17,2937,6492,0.4524029574861368
tM_09,132,4093,0.032250183239677495
tB_11,86,7214,0.011921264208483504
t8_28,2087,4350,0.47977011494252875
tB_30,1320,7565,0.17448777263714474
t4_11,2957,8108,0.36470152935372474
t2_13,2428,7808,0.3109631147540984
tM_28,432,4655,0.09280343716433942
t2_19,3689,8380,0.44021479713603817
tM_24,0,3629,0.0
t4_07,893,5358,0.16666666666666666
tM_18,1044,5423,0.1925133689839572
tB_05,173,7835,0.02208040842373963
t3_14,3096,4961,0.6240677282805885
t3_17,2078,5435,0.38233670653173873
tB_22,796,7190,0.11070931849791377
t5_21,2132,6486,0.32870798643231575
t9+_00,989,4715,0.2097560975609756
t3_27,3453,6227,0.5545206359402601
t2_12,1946,5854,0.33242227536727026
tB_12,3362,9180,0.3662309368191721
tB_13,2007,7415,0.27066756574511125
tB_25,3030,8306,0.3647965326270166
t5_06,1986,4637,0.42829415570411905
t4_18,2360,6472,0.3646477132262052
t5_15,2217,4655,0.47626208378088075
t9+_19,223,2994,0.07448229792919171
tB_10,1934,8401,0.23021068920366622
tM_08,0,4813,0.0
t4_20,1779,5655,0.3145888594164456
t4_24,2664,6668,0.39952009598080385
t8_10,2073,6035,0.34349627174813585
t9+_04,1527,4914,0.31074481074481075
t8_01,1541,5655,0.2725022104332449
tB_08,1078,8869,0.12154696132596685
tM_23,0,3535,0.0
tM_01,0,5505,0.0
t5_05,1770,11850,0.14936708860759493
t5_01,9,4330,0.002078521939953811
t2_06,41,4709,0.008706731790189
t3_26,2363,7766,0.3042750450682462
t8_06,507,6851,0.07400379506641366
tB_21,0,11082,0.0
t2_27,964,7552,0.12764830508474576
t4_00,1656,5551,0.29832462619347866
t8_17,1781,4137,0.43050519700265893
t9+_07,2432,6956,0.3496262219666475
tM_07,0,4423,0.0
tB_24,3061,7801,0.3923855915908217
t9+_01,1402,4488,0.3123885918003565
t5_14,1387,4891,0.2835820895522388
t2_18,0,5466,0.0
t5_20,357,5929,0.0602125147579693
t4_30,1815,9693,0.18724852986691426
tB_27,643,6731,0.09552815332045758
t9+_05,1104,6336,0.17424242424242425
t5_24,660,5294,0.12466943709860219
t3_05,1731,6943,0.24931585769840126
t8_05,1322,4956,0.26674737691686845
tB_03,1132,10694,0.10585374976622405
t2_25,2741,5100,0.5374509803921569
